"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013601910","Monograph","Language material ; Text","Volume","GBA696366","9780747588771","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets = Harry Potter et camera secretorum","Harry Potter et camera secretorum","","","England","London","Bloomsbury","2007","Latin edition","1 volume","823.914","","Children's fiction ; Fantasy","English ; Latin","Originally published: 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013601913","Monograph","Language material ; Text","Volume","GBA696369","9780747589945","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2007","","1 volume","823.914","","Children's fiction ; Fantasy","English","Originally published: 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013678137","Monograph","Language material ; Text","Volume","GBA714262","9780747591269","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2007","","1 volume, 21 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013694376","Monograph","Language material ; Text","Volume","GBA720510","9780747591054","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the deathly hallows","","","","England","London","Bloomsbury","2007","","1 volume","823.914","","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013767346","Monograph","Language material ; Text","Volume","GBA745306","9780747593683","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2007","Special edition","7 volumes","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","013767347","Monograph","Language material ; Text","Volume","GBA745307","9780747593690","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2007","","7 volumes","823.914","","Children's fiction","English","In slip case"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","014589596","Monograph","Language material ; Text","Volume","GBA856748","9780747595830","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the deathly hallows","","","","England","London","Bloomsbury","2008","","1 volume, 20 cm","823.914","","Children's fiction ; Fantasy","English","Originally published: 2007"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","014752993","Monograph","Language material ; Text","Volume","","9788877827029","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Riglietti, Serena [person]","Harry Potter e la pietra filosofale : romanzo","Harry Potter and the philosopher's stone. Italian","","","Italy","Milano","A. Salani","2008","1st edition","293 pages, illustrations, 21 cm","823.914","YK.2011.a.33194","Children's fiction ; Fantasy ; Fiction","Italian","Sequel: Harry Potter e la Camera dei Segreti ; Translated from the English"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","014834209","Monograph","Language material ; Text","Volume","GBB285780","9780747595861","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Deathly Hallows","","","","England","London","Bloomsbury","2007","","831 pages, 18 cm","823.914","H.2012/.8880","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","015589489","Monograph","Language material ; Text","Volume","GBB078729","9781408810552","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2010","","251 pages, 20 cm","823.914","YK.2011.a.21128","Children's fiction ; Fantasy","English","Originally published: 1998"
